Designator,Mid X,Mid Y,Rotation,Layer
C1,157.337466,-81.2051,270.0,top
C10,87.715206,-98.07768,180.0,top
C11,90.295846,-98.57044,270.0,top
C2,141.77696,-96.7376,0.0,top
C3,119.277,-96.3337,180.0,top
C5,161.996206,-108.47898,0.0,top
C7,87.274486,-73.9556,270.0,top
C8,92.552606,-102.92654,90.0,top
C9,91.923986,-98.57044,270.0,top
D1,119.34368,-84.60504,270.0,top
D2,113.95126,-96.51916,180.0,top
D3,159.819066,-100.45258,0.0,top
IC1,118.63724,-93.57276,180.0,top
J1,168.150246,-81.1162,90.0,top
J10,144.409246,-63.24158,180.0,top
J11,137.556326,-50.84996,0.0,top
J12,132.574306,-107.63242,180.0,top
J13,143.562839,-107.656649,0.0,top
J14,110.563686,-107.63242,180.0,top
J15,121.585186,-107.63242,180.0,top
J16,154.538126,-107.65778,0.0,top
J17,111.851806,-85.34816,90.0,top
J2,165.200246,-92.70304,180.0,top
J3,169.000246,-104.0797,90.0,top
J4,166.69952,-63.20856,180.0,top
J5,159.67126,-50.81694,0.0,top
J6,122.134373,-63.24158,180.0,top
J7,115.106113,-50.84996,0.0,top
J8,99.8645,-63.24158,180.0,top
J9,92.82354,-50.84996,0.0,top
L1,128.0,-88.0,270.0,top
LED1,100.018026,-106.29712,180.0,top
R1,115.66766,-93.57276,90.0,top
R10,165.237246,-72.23572,0.0,top
R11,165.265186,-73.79274,0.0,top
R12,120.5832,-72.50854,0.0,top
R13,120.59082,-74.06302,0.0,top
R14,99.14052,-73.18164,90.0,top
R15,101.70338,-73.18164,90.0,top
R16,142.86154,-72.25962,0.0,top
R17,142.86154,-73.82426,0.0,top
R18,130.816486,-103.1925,180.0,top
R19,96.365,-73.18164,90.0,top
R2,110.58346,-96.51916,0.0,top
R20,108.762186,-103.1925,180.0,top
R21,119.964666,-103.1925,180.0,top
R3,87.037026,-102.42489,90.0,top
R4,87.923486,-99.89886,180.0,top
R5,83.925526,-103.27452,180.0,top
R6,93.581146,-99.53564,90.0,top
R7,95.13994,-99.52906,90.0,top
R8,96.68688,-99.51382,90.0,top
R9,110.660266,-94.62582,180.0,top
SW1,83.491186,-99.68296,270.0,top
SW2,83.754046,-74.1585,270.0,top
U1,144.92862,-85.31136,0.0,top
U2,89.782766,-102.92654,270.0,top
U3,98.262446,-86.79276,90.0,top
U4,159.67126,-63.20856,90.0,top
U5,115.106113,-63.24158,90.0,top
U6,92.82354,-63.24158,90.0,top
U7,137.388686,-63.24158,90.0,top
